LINK MARGIN VS MODCOD/ELEVATION (@550KM,,,KEY:,<0dB margin,,0dB <= margin < 3dB,,>=3dB margin,,Rate Supported with this MODCOD scheme (as per SAIT information),
MODCOD,"Elevation angle, degs",,,,,,,,,,
,10,20,30,40,50,60,70,80,90,,
QPSK 1/4,18.35,21.30,23.59,25.34,26.64,27.59,28.23,28.60,28.72,14.71,Mbps
QPSK 1/3,17.24,20.19,22.48,24.23,25.53,26.48,27.12,27.49,27.61,19.69,Mbps
QPSK 2/5,16.30,19.25,21.54,23.29,24.59,25.54,26.18,26.55,26.67,23.68,Mbps
QPSK 1/2,15.00,17.95,20.24,21.99,23.29,24.24,24.88,25.25,25.37,29.67,Mbps
QPSK 3/5,13.77,16.72,19.01,20.76,22.06,23.01,23.65,24.02,24.14,35.65,Mbps
QPSK 2/3,12.90,15.85,18.14,19.89,21.19,22.14,22.78,23.15,23.27,39.67,Mbps
QPSK 3/4,11.97,14.92,17.21,18.96,20.26,21.21,21.85,22.22,22.34,44.62,Mbps
QPSK 4/5,11.32,14.27,16.56,18.31,19.61,20.56,21.20,21.57,21.69,47.62,Mbps
QPSK 5/6,10.82,13.77,16.06,17.81,19.11,20.06,20.70,21.07,21.19,49.64,Mbps
QPSK 8/9,9.80,12.75,15.04,16.79,18.09,19.04,19.68,20.05,20.17,52.99,Mbps
QPSK 9/10,9.58,12.53,14.82,16.57,17.87,18.82,19.46,19.83,19.95,53.66,Mbps
8PSK 3/5,9.60,12.55,14.84,16.59,17.89,18.84,19.48,19.85,19.97,53.40,Mbps
8PSK 2/3,8.48,11.43,13.72,15.47,16.77,17.72,18.36,18.73,18.85,59.42,Mbps
8PSK 3/4,7.19,10.14,12.43,14.18,15.48,16.43,17.07,17.44,17.56,66.84,Mbps
8PSK 5/6,5.75,8.70,10.99,12.74,14.04,14.99,15.63,16.00,16.12,74.36,Mbps
8PSK 8/9,4.41,7.36,9.65,11.40,12.70,13.65,14.29,14.66,14.78,79.38,Mbps
8PSK 9/10,4.12,7.07,9.36,11.11,12.41,13.36,14.00,14.37,14.49,80.38,Mbps
16APSK 2/3,3.67,6.62,8.91,10.66,11.96,12.91,13.55,13.92,14.04,79.12,Mbps
16APSK 3/4,2.43,5.38,7.67,9.42,10.72,11.67,12.31,12.68,12.80,89.00,Mbps
16APSK 4/5,1.61,4.56,6.85,8.60,9.90,10.85,11.49,11.86,11.98,94.97,Mbps
16APSK 5/6,1.03,3.98,6.27,8.02,9.32,10.27,10.91,11.28,11.40,99.01,Mbps
16APSK 8/9,-0.25,2.70,4.99,6.74,8.04,8.99,9.63,10.00,10.12,105.69,Mbps
16APSK 9/10,-0.49,2.46,4.75,6.50,7.80,8.75,9.39,9.76,9.88,107.02,Mbps
32APSK 3/4,-0.19,2.76,5.05,6.80,8.10,9.05,9.69,10.06,10.18,111.10,Mbps
32APSK 4/5,-1.10,1.85,4.14,5.89,7.19,8.14,8.78,9.15,9.27,118.55,Mbps
32APSK 5/6,-1.74,1.21,3.50,5.25,6.55,7.50,8.14,8.51,8.63,123.59,Mbps
32APSK 8/9,-3.15,-0.20,2.09,3.84,5.14,6.09,6.73,7.10,7.22,131.94,Mbps
32APSK 9/10,-3.51,-0.56,1.73,3.48,4.78,5.73,6.37,6.74,6.86,133.59,Mbps