Parameter,python_variable,Units,Endurosat,Endurosat (db),SAIT,SAIT (db)
X-Band lower limit (downlink),x_band_lower_limit,GHz,8.025,,8.025,
X-Band upper limit (downlink),x_band_upper_limit,GHz,8.4,,8.4,
Selected Carrier Frequency,selected_carrier_frequency,GHz,8.22,,8.225,
Wavelength,wavelength,m,0.036,,0.036,
Tx Power,tx_power,W,2,3,2.5,4
Peak Boresight Antenna Gain,peak_boresight_antenna_gain,dBi,17,17,15.7,15.7
Interconnect losses (negative) / gains (positive),interconnect_loss,dB,-0.5,-0.5,-0.5,-0.5
Calculated EIRP,calculated_eirp,W,89.34,19.5,104.22,19.2
Orbit altitude,orbit_altitude,km,500,,570,
Elevation ground to sat,elevation_ground_to_sat,degrees,10,,30,
Calculated slant range,calculated_slant_range,km,1694.57,,1025.82,
Free Space Path Loss term,free_space_path_loss_term,dB,175.32,-175.3,170.97,-171
Atmospheric attenuation,atmospheric_attenuation,dB,1,-1,1,-1
Rain attenuation ('fade'),rain_attenuation,dB,0.5,-0.5,0.5,-0.5
Scintillation loss,scintillation_loss,dB,1,-1,1,-1
Polarisation loss,polarisation_loss,dB,1,-1,0.5,-0.5
Other propagation losses,other_propagation_losses,dB,2,-2,1,-1
Total Propagation Loss,total_propagation_losses,dB,180.8,-180.8,175,-175
System symbol rate (or bandwidth),system_symbol_rate,MSps (or MHz),30,,250,
MODCOD scheme,modcod_scheme,,16APSK 3/4,,QPSK 5/6,
MODCOD implementation loss,modcod_implementation_loss,dB,1.9,-1.9,0.3,-0.3
Spectral efficiency,spectral_efficiency,bps/Hz,3,,1.7,
Other radio/protocol overheads,other_radio_protocol_overheads,(%),0.00%,,0.60%,
Channel Throughput,channel_throughput,Mbps,89,,411.2,
CODMOD-inferred required Eb/N0 (inc. implementation losses),codmod_inferred_required_eb_n0,dB,7.39,7.39,3.29,3.29
Isotropically received power at satellite antenna input,isotropically_received_power_at_satellite_antenna_input,dBW,-161.8,,-157.3,
G/T,g_t,dB/K,24.4,24.4,24.4,24.4
Dish diameter,dish_diameter,m,3.7,,3.7,
Calculated HPBW,calculated_hpbw,degrees,0.69,,0.69,
Dish pointing error,dish_pointing_error,degrees,0.1,,0.1,
Gain rolloff loss at pointing error,gain_rolloff_loss_at_pointing_error,dB,0.28,-0.28,0.3,-0.3
Other overall link losses,other_overall_link_losses,dB,1.5,-1.5,2,-2
Boltzmann Constant,boltzmann_constant,W/K/Hz,1.38E-23,228.6012091,1.38E-23,228.6012091
Received Carrier-to-Noise ratio (bandwidth-independent),received_carrier_to_noise_ratio,dB-Hz,89.4,89.4,93.4,93.4
Supported user data rate,supported_user_data_rate,Mbps,89,,411.18,
Data Rate in dB-Hz,data_rate_in_db_hz,dB-Hz,79.49,79.49398985,86.14,86.14035949
Received Eb/No,received_eb_no,dB,9.92,9.92,7.27,7.27
Link Margin,link_margin,dB,2.53,,3.98,